,meanscell_abundance_w_sf_Astro L1 FGFR3 SERPINI2,meanscell_abundance_w_sf_Astro L1-6 FGFR3 AQP1,meanscell_abundance_w_sf_Astro L1-6 FGFR3 PLCG1,meanscell_abundance_w_sf_Endo L2-5 NOSTRIN SRGN,meanscell_abundance_w_sf_Exc L2 LAMP5 KCNG3,meanscell_abundance_w_sf_Exc L2 LINC00507 ATP7B,meanscell_abundance_w_sf_Exc L2 LINC00507 GLRA3,meanscell_abundance_w_sf_Exc L2-3 LINC00507 DSG3,meanscell_abundance_w_sf_Exc L2-3 RORB CCDC68,meanscell_abundance_w_sf_Exc L2-3 RORB PTPN3,meanscell_abundance_w_sf_Exc L2-3 RORB RTKN2,meanscell_abundance_w_sf_Exc L3 LAMP5 CARM1P1,meanscell_abundance_w_sf_Exc L3 RORB OTOGL,meanscell_abundance_w_sf_Exc L3 THEMIS ENPEP,meanscell_abundance_w_sf_Exc L3-5 FEZF2 ASGR2,meanscell_abundance_w_sf_Exc L3-5 FEZF2 LINC01107,meanscell_abundance_w_sf_Exc L3-5 RORB LAMA4,meanscell_abundance_w_sf_Exc L3-5 RORB LINC01202,meanscell_abundance_w_sf_Exc L3-5 RORB LNX2,meanscell_abundance_w_sf_Exc L3-5 RORB RPRM,meanscell_abundance_w_sf_Exc L3-5 RORB TNNT2,meanscell_abundance_w_sf_Exc L5 FEZF2 CSN1S1,meanscell_abundance_w_sf_Exc L5 FEZF2 NREP-AS1,meanscell_abundance_w_sf_Exc L5 FEZF2 PKD2L1,meanscell_abundance_w_sf_Exc L5 FEZF2 RNF144A-AS1,meanscell_abundance_w_sf_Exc L5 RORB MED8,meanscell_abundance_w_sf_Exc L5 THEMIS FGF10,meanscell_abundance_w_sf_Exc L5 THEMIS LINC01116,meanscell_abundance_w_sf_Exc L5 THEMIS RGPD6,meanscell_abundance_w_sf_Exc L5 THEMIS SLC22A18,meanscell_abundance_w_sf_Exc L5 THEMIS VILL,meanscell_abundance_w_sf_Exc L5-6 FEZF2 C9orf135-AS1,meanscell_abundance_w_sf_Exc L5-6 FEZF2 CFTR,meanscell_abundance_w_sf_Exc L5-6 FEZF2 FILIP1L,meanscell_abundance_w_sf_Exc L5-6 FEZF2 IFNG-AS1,meanscell_abundance_w_sf_Exc L5-6 FEZF2 LPO,meanscell_abundance_w_sf_Exc L5-6 FEZF2 OR1L8,meanscell_abundance_w_sf_Exc L5-6 FEZF2 SH2D1B,meanscell_abundance_w_sf_Exc L5-6 THEMIS SMYD1,meanscell_abundance_w_sf_Exc L5-6 THEMIS TNFAIP6,meanscell_abundance_w_sf_Exc L6 FEZF2 FFAR4,meanscell_abundance_w_sf_Exc L6 FEZF2 KLK7,meanscell_abundance_w_sf_Exc L6 FEZF2 POGK,meanscell_abundance_w_sf_Exc L6 FEZF2 PROKR2,meanscell_abundance_w_sf_Exc L6 THEMIS LINC00343,meanscell_abundance_w_sf_Exc L6 THEMIS SLN,meanscell_abundance_w_sf_Exc L6 THEMIS SNTG2,meanscell_abundance_w_sf_Inh L1 LAMP5 BMP2,meanscell_abundance_w_sf_Inh L1 LAMP5 NMBR,meanscell_abundance_w_sf_Inh L1 LAMP5 PVRL2,meanscell_abundance_w_sf_Inh L1 LAMP5 RAB11FIP1,meanscell_abundance_w_sf_Inh L1 PAX6 CHRFAM7A,meanscell_abundance_w_sf_Inh L1 PAX6 MIR101-1,meanscell_abundance_w_sf_Inh L1 PVALB SST ASIC4,meanscell_abundance_w_sf_Inh L1 SST DEFB108B,meanscell_abundance_w_sf_Inh L1 SST P4HA3,meanscell_abundance_w_sf_Inh L1 VIP KLHDC8B,meanscell_abundance_w_sf_Inh L1-2 PVALB CDK20,meanscell_abundance_w_sf_Inh L1-2 SST CCNJL,meanscell_abundance_w_sf_Inh L1-2 SST CLIC6,meanscell_abundance_w_sf_Inh L1-2 SST PRRT4,meanscell_abundance_w_sf_Inh L1-2 VIP EXPH5,meanscell_abundance_w_sf_Inh L1-2 VIP HTR3A,meanscell_abundance_w_sf_Inh L1-2 VIP PTGER3,meanscell_abundance_w_sf_Inh L1-2 VIP SCML4,meanscell_abundance_w_sf_Inh L1-2 VIP WNT4,meanscell_abundance_w_sf_Inh L1-3 SST FAM20A,meanscell_abundance_w_sf_Inh L1-3 VIP CBLN1,meanscell_abundance_w_sf_Inh L1-3 VIP CHRNA2,meanscell_abundance_w_sf_Inh L1-3 VIP FNDC1,meanscell_abundance_w_sf_Inh L1-3 VIP HSPB6,meanscell_abundance_w_sf_Inh L1-5 VIP CD27-AS1,meanscell_abundance_w_sf_Inh L1-5 VIP LINC01013,meanscell_abundance_w_sf_Inh L1-5 VIP PHLDB3,meanscell_abundance_w_sf_Inh L1-5 VIP SMOC1,meanscell_abundance_w_sf_Inh L1-6 LAMP5 AARD,meanscell_abundance_w_sf_Inh L1-6 LAMP5 CA1,meanscell_abundance_w_sf_Inh L1-6 LAMP5 NES,meanscell_abundance_w_sf_Inh L1-6 PVALB COL15A1,meanscell_abundance_w_sf_Inh L1-6 SST NPY,meanscell_abundance_w_sf_Inh L1-6 VIP SLC7A6OS,meanscell_abundance_w_sf_Inh L2 PAX6 FREM2,meanscell_abundance_w_sf_Inh L2 PVALB FRZB,meanscell_abundance_w_sf_Inh L2 VIP SLC6A16,meanscell_abundance_w_sf_Inh L2-3 SST NMU,meanscell_abundance_w_sf_Inh L2-5 PVALB HHIPL1,meanscell_abundance_w_sf_Inh L2-5 PVALB RPH3AL,meanscell_abundance_w_sf_Inh L2-5 VIP BSPRY,meanscell_abundance_w_sf_Inh L2-5 VIP SOX11,meanscell_abundance_w_sf_Inh L3 PVALB SAMD13,meanscell_abundance_w_sf_Inh L3-5 PVALB ISG20,meanscell_abundance_w_sf_Inh L3-5 SST CDH3,meanscell_abundance_w_sf_Inh L3-5 SST GGTLC3,meanscell_abundance_w_sf_Inh L3-5 SST OR5AH1P,meanscell_abundance_w_sf_Inh L3-5 VIP HS3ST3A1,meanscell_abundance_w_sf_Inh L3-5 VIP IGDCC3,meanscell_abundance_w_sf_Inh L3-5 VIP TAC3,meanscell_abundance_w_sf_Inh L3-6 PAX6 LINC01497,meanscell_abundance_w_sf_Inh L3-6 VIP UG0898H09,meanscell_abundance_w_sf_Inh L3-6 VIP ZIM2-AS1,meanscell_abundance_w_sf_Inh L5 PVALB LRIG3,meanscell_abundance_w_sf_Inh L5 SST RPL35AP11,meanscell_abundance_w_sf_Inh L5-6 LAMP5 CRABP1,meanscell_abundance_w_sf_Inh L5-6 PVALB FAM150B,meanscell_abundance_w_sf_Inh L5-6 PVALB GAPDHP60,meanscell_abundance_w_sf_Inh L5-6 PVALB KCNIP2,meanscell_abundance_w_sf_Inh L5-6 PVALB MEPE,meanscell_abundance_w_sf_Inh L5-6 PVALB SST CRHR2,meanscell_abundance_w_sf_Inh L5-6 PVALB ZFPM2-AS1,meanscell_abundance_w_sf_Inh L5-6 SST BEAN1,meanscell_abundance_w_sf_Inh L5-6 SST C4orf26,meanscell_abundance_w_sf_Inh L5-6 SST DNAJC14,meanscell_abundance_w_sf_Inh L5-6 SST FBN2,meanscell_abundance_w_sf_Inh L5-6 SST ISX,meanscell_abundance_w_sf_Inh L5-6 SST KLHL1,meanscell_abundance_w_sf_Inh L5-6 SST PAWR,meanscell_abundance_w_sf_Inh L5-6 SST PIK3CD,meanscell_abundance_w_sf_Inh L5-6 VIP COL4A3,meanscell_abundance_w_sf_Inh L6 SST TH,meanscell_abundance_w_sf_Micro L1-6 TYROBP CD74,meanscell_abundance_w_sf_OPC L1-6 PDGFRA COL20A1,meanscell_abundance_w_sf_Oligo L2-6 OPALIN FTH1P3,meanscell_abundance_w_sf_Oligo L2-6 OPALIN MAP6D1,meanscell_abundance_w_sf_Oligo L3-6 OPALIN ENPP6,meanscell_abundance_w_sf_Oligo L3-6 OPALIN LRP4-AS1,meanscell_abundance_w_sf_VLMC L1-5 PDGFRA COLEC12
0,0.03527278,0.11260504,0.06983467,0.14438011,0.49028707,0.040148135,0.10224425,0.017810404,0.041378986,0.038176924,0.06318361,0.031576894,0.05557939,0.026542364,0.09211401,0.094544485,0.04410685,0.03483211,0.058030233,1.1356994,0.016948929,0.05088315,0.08035367,0.069693565,0.08222893,0.05384318,0.034706604,0.10132921,0.54382455,0.030175019,0.022420455,8.815286,0.05742048,0.22440834,0.0628593,0.06424068,0.3729235,0.47844437,0.034983896,0.02540065,0.05721585,0.06389223,0.08565832,0.096010104,0.038462114,0.01708871,0.049127962,0.033462662,0.052612808,0.04595953,0.037784554,0.050812785,0.042062934,0.08291199,0.045043796,0.10642547,0.051395528,0.08590287,0.9102245,0.46473813,0.23474385,0.06944397,0.03626772,0.0566828,0.03842815,0.043661997,0.93077016,0.06562854,0.05205377,0.06434658,0.06276552,0.046061344,0.06321719,0.06564504,0.07958013,0.05289923,0.041833445,0.058014307,0.045073055,0.04338726,0.024611348,0.030363293,0.07045067,0.05084616,0.19593614,0.061137255,0.07900609,0.05651539,0.038771514,0.07380536,0.040262833,0.663433,7.6592045,0.6836439,0.06364534,0.05072222,0.091046065,0.043588977,0.048682347,0.044375896,0.054182924,5.637453,0.051980775,0.052346986,0.1919532,0.049974322,0.091538034,0.31638917,0.049859665,0.09214945,0.3191412,0.08142005,0.23424453,0.9722468,0.7185702,0.8334166,0.4593191,0.041436683,0.10629438,0.3010554,0.10318154,35.398632,0.08296401,5.0728607,0.12889408,0.0614511
1,0.021273192,0.045371067,0.041179724,0.039401207,0.5120767,0.19319582,5.7299185,0.10693343,0.047042847,0.07703714,0.19522072,0.050922096,0.04996344,0.02836785,0.027126875,0.030596415,0.03228091,0.04827844,0.04991165,2.5814884,0.033583704,0.026860403,0.034781635,0.03496121,0.053009108,0.04026388,0.029743867,0.06169455,0.25556946,0.028353304,0.038714096,7.284224,0.057529252,0.13667211,0.051265016,0.02584386,0.23555441,0.371172,0.07593416,0.046603013,0.063675545,0.18608405,0.2972719,0.08546072,0.11124585,0.09727101,0.09087201,0.09429519,0.066140264,0.046649076,0.048240684,0.115322985,0.056288596,0.13953885,0.093061045,0.06287272,0.31260154,0.039652366,0.10313445,0.071646236,0.088359885,0.12524992,0.08252151,0.13115633,0.069916666,0.060817692,0.09161699,0.17218052,3.187701,0.084501006,0.6181472,0.16030234,0.08331545,0.111831315,6.462667,0.07103159,0.052163627,0.04931342,0.053229466,0.04241095,0.1937241,0.07699666,0.042268984,0.2563093,0.04460112,0.04360194,0.05930953,0.5997321,0.107762024,0.06347828,0.025267888,0.11267807,0.18659237,0.07749508,0.9961534,1.645953,0.18018553,0.15797755,0.106049284,0.056776233,0.041368414,0.21847433,0.05498675,0.044963416,0.0559892,0.038235757,0.050359808,0.045372974,0.038241606,0.05358567,0.07701629,0.03843121,0.06656212,0.08253941,0.06590259,0.08129421,0.09291335,0.1839417,0.06296016,0.066460036,0.056363672,0.0133707905,0.016217757,0.00937977,0.007412284,0.043668505
2,0.026148552,0.04908943,0.042177487,0.047391392,0.06788251,0.07533205,0.06993215,1.2447939,0.045219153,0.07583495,0.07747456,9.103385,0.07210456,1.7448351,0.062512755,0.11269774,0.1231356,0.11788473,0.08255607,8.487736,0.1536909,0.08914765,0.041239846,0.056473795,0.055722855,0.0881335,0.24516383,0.38702366,0.10627593,0.07751448,0.4790773,0.09573301,0.046870247,0.06214934,0.05636176,0.039638728,0.0349446,0.0744401,0.21922734,0.35159984,0.042439155,0.036005147,0.03564812,0.079333335,1.7333058,0.3824065,0.72769856,0.040211976,0.043830458,0.053890888,0.03052375,0.052221097,0.03423054,0.049504343,0.04368246,0.051480796,0.041679483,0.042417873,0.30644092,0.18132032,0.15725684,0.049694754,0.03555084,0.058499333,0.033650175,0.020562544,0.4099804,0.036076654,0.046233997,0.0474843,0.060751963,0.04871039,0.027870923,0.031301692,0.05009006,0.04240445,0.032417458,0.038429204,0.04484792,0.040642913,0.04293128,0.025473384,0.06721887,0.050225765,0.11502354,0.05579009,0.07023161,0.032033507,0.027131733,0.08545289,0.1257402,0.23409876,3.5499196,0.34039184,0.046187967,0.032642905,0.043713223,0.03834825,0.027703661,0.032359753,0.059110425,2.637579,0.03316589,0.074364565,0.07684025,0.05808369,0.059376877,0.18475968,0.056577146,0.07604069,0.25980768,0.08090458,0.153009,0.54540265,0.35240912,0.4244337,0.20134552,0.03776605,0.06169451,0.10048273,0.047332905,0.016643053,0.014973572,0.024063954,0.010743205,0.05506276
3,0.11096695,0.14928488,0.46430057,0.06274579,0.62668633,0.23756047,5.7506766,0.13113844,0.07563657,0.083642945,0.23581505,0.06581851,0.07630632,0.036914628,0.03649772,0.028623575,0.058481835,0.06613591,0.06624113,3.6653438,0.045877565,0.03139531,0.07232252,0.07547487,0.050959643,0.052878365,0.035053488,0.03287925,0.048840467,0.02426247,0.0428961,0.20416027,0.04085717,0.049920306,0.111260206,0.036773242,0.042864587,0.08179389,0.054476876,0.042920392,0.069768384,0.10712932,0.08690488,0.0772363,0.13751379,0.115254946,0.08915675,0.2486733,0.15874688,0.14341728,0.4818671,0.131213,0.22684991,0.18581958,0.1466273,0.15348232,0.24632156,0.31989384,0.18580076,0.6716967,0.14322998,0.2684683,0.05006154,0.117452204,0.07823342,0.07691182,0.14705135,0.2088181,0.14256121,0.1087095,0.23640524,0.10682784,0.064471714,0.10894347,0.3275298,9.31168,1.3837774,1.9881226,0.22559486,0.052492265,0.54098105,0.12558863,0.22889288,0.15686314,0.12080217,1.0145167,2.3015323,0.12245615,0.11642422,2.236509,0.15614246,0.11980457,0.30042833,0.108307,0.13016567,0.21182743,0.16567647,0.13133422,0.08126098,0.06752976,0.7016689,0.36948895,4.4797783,0.9020545,0.44133574,0.51615256,2.1843445,0.15664521,0.81267583,0.15236594,0.21322054,0.1786757,0.16072068,0.23436569,0.19494154,0.090976655,0.07831387,0.106759764,0.19087264,0.11811312,0.16893175,0.065717146,0.05712998,0.030369526,0.0285657,0.095253475
4,1.8439938,2.1912918,15.800868,0.05678578,0.21638386,0.078180484,1.9572549,0.036774293,12.305996,0.6255535,0.35544825,0.031399615,1.520453,0.046973478,0.03996907,0.066548035,0.106225364,0.33560535,0.50310665,0.35951543,0.13952431,0.018730594,0.03843572,0.028653635,0.05723115,0.18450226,0.092673406,0.015140152,0.015807511,0.11635554,0.03535592,0.033683933,0.036402285,0.020510241,0.044052053,0.027625868,0.032738633,0.028688345,0.059827898,0.051168296,0.036964487,0.04312333,0.037194222,0.02226185,0.047514204,0.041305568,0.03678655,0.027339902,0.026260601,0.018424714,0.01962349,0.043892886,0.030302,0.03626251,0.027959252,0.0414127,0.018931828,0.018269047,0.028929593,0.019129718,0.028880028,0.036333356,0.03868554,0.023943689,0.020448279,0.026122276,0.036522184,0.030579794,0.024757205,0.017084958,0.03101651,0.03228423,0.028822511,0.029157357,0.06472366,0.018282203,0.026060771,0.021703405,0.028003069,0.04694387,0.015041974,0.0208222,0.024634784,0.019336998,0.022368308,0.02035852,0.027472243,0.030460387,0.018248249,0.02767842,0.015002442,0.024292525,0.03914376,0.018158287,0.030973967,0.028993223,0.027977979,0.0177104,0.028484607,0.0218408,0.018888807,0.04270831,0.018533893,0.02767448,0.025343765,0.020867042,0.025645487,0.022829767,0.019573187,0.031111352,0.019492103,0.023073565,0.043481603,0.030147407,0.020499062,0.02465444,0.022282839,0.030767256,0.01772599,0.21515512,0.17739977,17.087986,0.07662248,3.5906513,0.3061299,0.30581
5,0.010615873,0.024408352,0.030880837,0.01472463,0.0063489727,0.0047396384,0.007426483,0.0069041615,0.005564185,0.0062640524,0.003255722,0.012743537,0.004920628,0.0043571196,0.0038805732,0.003742631,0.0047519077,0.006734677,0.0033071546,0.0043167286,0.0029020351,0.0042786985,0.0060115843,0.0124310125,0.011350552,0.005795364,0.002823437,0.005049155,0.008928317,0.0025780732,0.0029557336,0.0053503793,0.0033058408,0.0028354428,0.012400197,0.0046554073,0.0030021043,0.0038349496,0.007350104,0.004062373,0.009291165,0.005745767,0.0035780098,0.0022051702,0.0055658487,0.0044167237,0.0050572753,0.046826184,0.05464115,0.03105411,0.026620835,0.06387455,0.043719582,0.08870744,0.08887776,0.036862925,0.054021623,0.14482822,0.34262857,0.28398505,0.15567605,9.416111,0.07542803,0.07666575,0.08867094,0.027624598,0.519544,3.4660563,0.13682061,0.47548494,2.162524,0.04005286,0.08399311,0.1789662,0.38485494,0.05169361,0.06902557,0.039808646,0.10708534,0.020361887,0.014791687,0.017476218,0.079516016,0.27570522,0.21889642,0.38091642,1.2061138,0.16289212,0.070190676,3.0022163,0.71815395,0.23191549,5.0264173,0.511546,0.20477866,0.5122148,2.1758413,0.03388373,0.2205099,0.06567134,0.2955376,7.050853,0.038933497,0.10394656,0.122432955,0.08370486,0.15947993,0.22544408,0.4258005,0.15519418,0.14657913,0.018095763,0.12865531,0.841791,0.3239128,0.9119391,0.25236568,0.030994266,0.033294737,0.030323997,0.02837163,0.013730882,0.003568512,0.005074079,0.0068286206,0.020829769
6,0.042612173,0.11255076,0.09254008,0.10452803,0.5637326,0.4266805,5.827697,1.2223405,0.10375181,0.14347412,0.3285172,4.015614,0.15616368,0.52253723,0.059846487,0.07820262,0.19258533,0.16105871,0.09443787,2.9519768,0.15854278,0.10105614,0.07412313,0.07105934,0.06752212,0.15878068,0.16747114,0.41020352,0.88290256,0.08476223,0.2915079,13.205537,0.107404366,0.45557898,0.0694186,0.0738815,0.37869933,1.4032493,0.15954864,0.16590105,0.08414575,0.11209657,0.10674323,0.18539798,1.2239004,0.408676,0.73599166,0.029619051,0.043778736,0.030585669,0.023686416,0.047286235,0.041649424,0.046037592,0.0574681,0.045112517,0.055104036,0.023197317,0.055618938,0.02889032,0.06034196,0.04617483,0.041041255,0.03978391,0.046226684,0.030271737,0.048859175,0.037867486,0.035317596,0.051064525,0.05232505,0.050229333,0.048924692,0.065260604,0.053346734,0.022457935,0.026281243,0.033121035,0.027312586,0.07319893,0.033228144,0.034408115,0.036662836,0.033002824,0.033859257,0.024316028,0.028896881,0.042365316,0.030698026,0.030184502,0.02338933,0.05485151,0.06417994,0.04875142,0.03412855,0.047660362,0.054549184,0.06501237,0.06931894,0.039873,0.027606435,0.06303605,0.019806381,0.054933727,0.047082234,0.031431194,0.034235463,0.038093,0.026427256,0.045500543,0.03800099,0.028374653,0.07070638,0.048740085,0.03753683,0.0380668,0.050785065,0.04326895,0.050650578,0.18549001,0.23743318,14.78686,0.1244341,2.1161983,0.084460266,0.090414785
7,0.8693314,1.0564455,3.201955,1.4732599,0.01361321,0.013078655,0.010916623,0.0052666175,0.05934413,0.016181884,0.0091355,0.006258233,0.0631307,0.007567482,0.0076535754,0.009621407,0.035454273,0.02891216,2.0911164,1.8152145,0.020499488,0.010931135,0.05541445,0.077283196,0.053818524,0.03512468,0.018899113,0.007982591,0.010681101,0.009312074,0.012005484,0.011797491,0.041280128,0.011772472,0.07111614,0.17048015,0.008888479,0.00976957,0.012235924,0.015976828,0.029070871,0.014086768,0.021982837,0.053165797,0.024454415,0.009273692,0.018198207,0.03694921,0.042159874,0.09160659,0.07569783,0.036573064,0.07272375,0.050557133,0.042724777,0.07744771,0.04762177,0.038200896,0.03515272,0.044861037,0.04188995,0.07822255,0.062321477,0.1053018,0.037410017,0.04456712,0.040101934,0.043672793,0.04433135,0.042864397,0.050940633,0.5026563,0.04873276,0.08763975,0.07569002,0.10503121,0.06660612,0.09245627,0.06700569,0.037332468,0.058316812,0.028310426,0.08182082,0.028353157,0.043413255,0.03548328,0.033910822,0.07125339,0.033884022,0.04256656,0.02709364,0.034447856,0.07808965,0.025575425,0.088866994,0.07048131,0.050211076,0.05947838,0.03106789,0.05893992,0.02154192,0.08106048,0.06778436,0.07169853,0.06868373,0.015716486,0.031689983,0.027581632,0.026889293,0.09980947,0.056539126,0.5367402,0.09660925,0.0288207,0.06628781,0.04072341,0.031159926,0.06913221,0.09929403,5.2038274,35.825954,37.397854,0.04574896,5.7985287,0.6668657,2.1271296
8,0.013055929,0.029059736,0.025490917,0.017995736,0.5836579,0.26977122,15.468373,0.38330323,0.13127288,0.22882122,0.9175808,0.078000076,0.04343012,0.044728648,0.048110798,0.050924666,0.043365594,0.051147453,0.034040827,0.062686004,0.050419666,0.019247103,0.031041628,0.020756064,0.034987934,0.034865133,0.019234344,0.014207845,0.023986457,0.022434458,0.020073384,0.035787795,0.02090993,0.019112991,0.038511716,0.021085368,0.016506542,0.024408074,0.032194626,0.030614424,0.024529647,0.03791097,0.02106398,0.008680974,0.08690104,0.122537054,0.03205549,0.030875258,0.033590674,0.027267668,0.029572943,0.031168982,0.02661273,0.02766286,0.032780796,0.026746767,0.034121536,0.43417925,0.12814651,0.28283536,0.078547284,0.04457869,0.027349724,0.022589471,0.03152565,0.019912448,0.072017185,0.03888725,0.033004533,0.027328374,0.03623953,0.016415937,0.026866784,0.031057555,0.030646559,0.049544208,0.054744847,0.030439882,0.10360426,0.024725597,0.018299585,0.011925332,0.25224128,0.04951546,0.06500023,1.5052077,4.509641,0.024557445,0.017579801,3.8184943,0.3584664,0.043083943,0.06622673,0.042558335,0.023072453,0.03794354,0.051061377,0.026949095,0.028326053,0.014076728,0.5355979,0.06685683,0.043815296,0.27679428,0.30042538,0.1693484,0.58973867,0.084606215,1.0718822,0.079671845,0.040500287,0.035202324,0.04454233,0.058752492,0.040791854,0.04337199,0.049163267,0.019423626,0.034470867,0.07999411,0.027544372,0.009728378,0.012696942,0.0068071047,0.0047136405,0.02579867
9,7.570506,6.033386,53.803074,0.16596074,0.93228054,0.8090848,15.215517,0.8606436,0.08176632,0.14888482,0.5550228,0.27653506,0.07622296,0.11176676,0.05815468,0.12054679,0.07284979,0.08837039,0.060879298,3.8199446,0.12589723,0.053972106,0.02044821,0.024172384,0.033566274,0.0673377,0.10215273,0.032292426,0.060174257,0.044392947,0.0907953,0.057382874,0.051030997,0.034806117,0.03126974,0.02256279,0.02877697,0.04303751,0.24572869,0.19950801,0.04221978,0.047653798,0.04073211,0.044972204,1.993961,0.8181399,0.8540962,0.031113163,0.039585944,0.024933947,0.02963521,0.047982838,0.033139315,0.02944949,0.03217348,0.06249288,0.03547614,0.019515244,0.041821603,0.024694156,0.045361772,0.055647153,0.0371139,0.023225343,0.022229142,0.02944334,0.046054732,0.042841375,0.028291885,0.034579918,0.044186126,0.024450455,0.037411455,0.054419838,0.0459715,0.017838005,0.02810059,0.027666114,0.038710352,0.03438691,0.019957846,0.02117843,0.043076925,0.039024327,0.03490703,0.015858285,0.027507814,0.02751873,0.024008542,0.035938825,0.017163176,0.031171452,0.039070565,0.03482344,0.028088208,0.040560056,0.05017842,0.022296881,0.02655268,0.02151159,0.017587984,0.038498443,0.01781893,0.036281135,0.035704438,0.023265656,0.03403739,0.028090635,0.027273152,0.03177813,0.025308434,0.03929315,0.035967037,0.02688586,0.018162675,0.033838402,0.094290376,0.022276592,0.02653109,0.31615502,0.1735329,0.07278385,0.080307744,0.07280418,0.53212833,0.998798
